Time,C7,T10,CLAV,LFIN,LPSI,RBHD,RFIN,LFHD,RFHD,STRN,LBHD,LSHO,RSHO,LELB,RELB,LWRB,RWRB,LWRA,RWRA,LASI,RASI,LKNE,RKNE,LANK,RANK,LHEE,RHEE,LTOE,RTOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,644.2428380250931,721.2952524423599,725.6871461868286,725.3985106945038,387.9713639616966,392.2729194164276,392.64556020498276,1163.3901298046112,-332.114771,838.5229855775833,400.58329701423645,2012.331634759903,-1306.111068,2217.2461450099945,-2261.928469,2511.287033557892,-2711.922824,2403.845638036728,-2571.74015,114.37811702489853,-1147.205234,92.95355528593063,-1342.314631,108.4173321723938,-1580.091566,116.50427430868149,-1620.214731,181.3565343618393,-1898.676902,1043.7811702489853,-6030.776501,-6419.151425,-6424.281597,-6429.267526,-6393.503547,-6402.959824,-6416.628957,-6343.779564,-6331.019402,-5809.216499,-5790.904164,-4475.136399,-4600.596726,-2130.277604,-2162.024975,186.31203100085258,168.1041531264782,375.4426911473274,330.55514097213745,8.306262083351612,-89.70326744,423.7232804298401,3958.8046073913574,790.1105880737305,7588.620185852051,835.9088897705078,8047.7529764175415,883.3948373794556,8627.543449401855,83.06262083351612,-3526.66676,-3371.244967,-3363.935649,-3363.690078,-3386.265039,-3394.631147,-3383.377194,-2200.81389,-2395.469993,-3098.848462,-3140.356541,-1227.449253,-1618.374586,-698.158741,-1072.802022,-1529.222578,-1763.492227,-1671.003848,-1902.640164,14.049715362489223,-127.6279613,14.438088051974773,-120.4222813,117.62567609548569,914.0072762966156,117.00852960348129,923.5057234764099,-3.959251102,-402.273871,140.49715362489223
0.5,626.1245906352997,704.8493624,709.2755287885666,709.0555876493454,370.97208201885223,375.47003477811813,375.8819028735161,1134.5689743757248,-362.6953065,814.2878860235214,375.8329525589943,1944.4610178470612,-1323.849559,2131.110429763794,-2281.778753,2363.8786375522614,-2651.028633,2248.528301715851,-2498.966306,114.20360952615738,-1145.160347,92.48933941,-1339.292079,111.37554794549942,-1563.770026,119.67045813798904,-1600.95036,182.33098089694977,-1876.96293,1042.0360952615738,-6040.318608,-6430.187821,-6435.067058,-6440.034509,-6405.4811,-6414.930224,-6428.430676,-6359.685659,-6346.381307,-5819.385052,-5801.960826,-4515.995979,-4617.332518,-2203.830928,-2183.274031,98.97595271468163,153.58851291239262,280.7655930519104,317.8197145462036,8.370080031454563,-90.25954641,423.77349734306335,3961.3327383995056,790.3053164482117,7611.824870109558,835.9521627426147,8070.918321609497,883.6104869842529,8657.410144805908,83.70080031454563,-3350.095451,-3191.609681,-3184.605539,-3184.877932,-3211.106956,-3219.471574,-3208.613694,-2008.754164,-2226.625234,-2916.822731,-2966.194153,-1054.20202,-1488.88275,-608.3325297,-994.7112948,-1522.555798,-1673.725098,-1664.653569,-1805.051118,14.569415710866451,-132.933408,14.453168027102947,-159.8854922,108.66517573595047,833.5331827402115,107.49773681163788,839.4563943147659,-15.04535321,-501.778461,145.6941571086645
1,622.648187,701.1365145,705.5642455816269,705.3630054,367.82093346118927,372.38534539937973,372.75515496730804,1137.4273151159286,-354.5247763,814.5513385534286,377.10104137659073,1967.5013422966003,-1307.64842,2163.7412905693054,-2284.881175,2378.6483705043793,-2647.074759,2260.926365852356,-2494.675368,114.14135992527008,-1144.407615,93.08088570833206,-1324.4389,114.07358944416046,-1534.288824,122.40275740623474,-1569.475532,184.7909390926361,-1798.366755,1041.4135992527008,-6070.280075,-6458.866,-6463.657618,-6468.658447,-6432.203054,-6441.757679,-6455.212831,-6387.476921,-6365.249753,-5847.076774,-5827.236772,-4529.854357,-4655.027688,-2217.068672,-2247.831076,93.72075088322163,111.84168048202991,276.42928063869476,282.35381469130516,8.586455136537552,-92.34308265,423.35405945777893,3959.997296333313,790.7227873802185,7614.001035690308,836.3029360771179,8072.296977043152,883.7583065032959,8660.053610801697,85.86455136537552,-3251.014054,-3095.50941,-3088.424504,-3088.703454,-3106.837869,-3114.847541,-3104.359508,-1937.014014,-2118.943781,-2827.976942,-2866.602242,-1001.150608,-1420.186907,-561.2709746,-929.6337515,-1466.868818,-1614.601314,-1605.862081,-1748.043895,14.9539765,-136.8107181,14.268129132688046,-168.404337,105.9376597,831.3257992267609,104.64948415756226,839.0953392,-17.99014211,-494.6405068,149.539765
1.5,502.62365490198135,598.2613191008568,603.4704297780991,602.9808893799782,267.68023148179054,272.02412486076355,272.34215289354324,1068.0017620325089,-422.3755375,704.8653066158295,267.71828532218933,1930.3129613399506,-1397.148222,2148.626893758774,-2296.500951,2440.5065178871155,-2698.997855,2335.367053747177,-2558.988631,114.29279297590256,-1145.878136,101.90597176551819,-1048.779264,146.82237803936005,-968.6209261,156.90115094184875,-990.2635962,214.43916857242584,-1376.464069,1042.9279297590256,-6082.02219,-6468.73951,-6473.717093,-6478.527188,-6442.360282,-6451.919675,-6465.417147,-6394.689083,-6377.540231,-5857.439637,-5839.045048,-4521.790445,-4671.829939,-2165.07718,-2246.333212,130.4622646421194,115.11660180985928,313.62541019916534,290.2406267821789,8.203640580177307,-88.60386908,425.03973841667175,3983.7616682052612,790.2396917,7684.685587882996,835.7986807823181,8150.992393493652,884.9107623100281,8697.189688682556,82.03640580177307,-3281.605244,-3126.992583,-3120.280504,-3120.160997,-3137.389719,-3145.467937,-3133.783042,-1984.509975,-2150.565088,-2862.888575,-2898.78875,-1091.752425,-1421.05341,-632.5025111,-909.5709026,-1473.52457,-1599.751711,-1612.248272,-1737.362146,14.410651288926601,-131.250117,12.478071264922619,-146.9275355,105.85761070251465,903.9988368749619,104.6636551618576,912.2801572084427,-17.15414785,-356.9354117,144.1065129
2,312.2517094016075,391.9745981693268,396.8985751271248,396.3013365864754,63.928873278200626,67.99519062042236,67.82148964703083,853.7650108337402,-631.6109747,515.5619233846664,80.12603968381882,1772.2299695014954,-1560.11939,1986.6934418678284,-2376.546562,2322.063148021698,-2808.005512,2219.2224860191345,-2671.930194,114.36516791582108,-1146.574095,103.91593724489212,-997.3802418,142.33213663101196,-989.3808514,152.19278633594513,-1014.703959,215.49153327941895,-1385.970861,1043.6516791582108,-6075.243354,-6463.078856,-6468.405128,-6472.916007,-6433.541179,-6443.169117,-6456.722617,-6404.234767,-6382.683516,-5860.106945,-5838.797688,-4550.800025,-4676.060975,-2178.864777,-2238.751352,124.80386532843113,156.26471489667892,308.69487673044205,340.2072936296463,7.169621996581554,-78.3575885,427.4674952030182,4000.391364097595,792.2152876853943,7717.561721801758,837.8037214279175,8187.149167060852,886.6468071937561,8717.488050460815,71.69621996581554,-3345.753849,-3199.356198,-3192.545474,-3192.327619,-3211.912513,-3219.844103,-3208.253384,-2057.98775,-2235.691696,-2923.471332,-2962.606251,-1166.143194,-1465.097964,-691.3864613,-941.451937,-1513.785124,-1626.388431,-1651.889831,-1768.573821,13.992846943438053,-126.9694231,10.302684269845486,-124.9826699,105.1369384,961.7539495229721,103.88867557048798,970.9800779819489,-17.14310423,-294.1512503,139.92846943438053
2.5,293.87835413217545,374.43574517965317,379.3020174,378.77488881349564,46.57127894461155,50.58602895587683,50.50943233072758,839.8792147636414,-644.4841623,497.58806824684143,62.83827591687441,1758.906990289688,-1575.405896,1985.681951,-2377.898842,2316.9590532779694,-2781.725228,2213.890105485916,-2644.634843,114.45095390081406,-1147.459522,107.75809735059738,-923.7159044,148.67664873600006,-755.1578432,159.07636284828186,-766.934827,226.42740607261658,-1161.180958,1044.5095390081406,-6062.325239,-6447.965503,-6453.367472,-6457.840204,-6420.212984,-6429.826021,-6443.377137,-6385.948658,-6370.148063,-5846.251249,-5827.01385,-4535.504878,-4662.893713,-2169.278115,-2216.306478,125.15385635197163,186.02870404720306,308.44470486044884,367.15738475322723,6.450164597481489,-71.23364601,428.48026752471924,4012.082815170288,793.0696606636047,7731.017470359802,838.6653065681458,8201.242089271545,887.2826099395752,8725.914359092712,64.50164597481489,-3448.915184,-3306.010067,-3299.269974,-3298.898935,-3316.159844,-3324.384093,-3312.17736,-2170.973569,-2336.847484,-3028.398156,-3064.254224,-1255.126894,-1540.329605,-747.2477853,-972.6271033,-1540.378779,-1640.397161,-1675.614864,-1783.253402,13.855980709195137,-125.6410126,11.203344911336899,-91.28911421,109.11930352449417,1063.920482993126,108.3340272307396,1078.9711028337479,-9.813495912,-158.3384909,138.55980709195137
3,180.36987632513046,259.2093124985695,263.44407349824905,263.35813105106354,-75.82408376,-72.2233532,-73.34754802,708.2563638687134,-812.3001456,376.063697,-66.03325717,1626.7706453800201,-1733.090281,1759.0546607971191,-2544.124126,2141.8631076812744,-2950.273752,2045.0593531131744,-2817.852795,114.53887820243835,-1148.257405,147.43255078792572,-661.5562737,161.8986726,-331.4367682,170.77204585075378,-315.7582507,234.41193997859955,-655.1257521,1045.3887820243835,-5960.323811,-6345.781684,-6350.468993,-6355.625987,-6313.837767,-6324.641705,-6338.109374,-6251.746416,-6217.902303,-5728.97017,-5705.729723,-4405.822456,-4455.683827,-1993.493438,-2024.029195,286.0337868332863,342.89419651031494,466.46732836961746,515.9833282232285,1.8714937614277005,-25.48494143,395.47836780548096,4048.7024188041687,758.6296200752258,7739.504576,804.4046759605408,8213.274478912354,859.4732284545898,8791.561126708984,18.714937614277005,-3596.524,-3431.338966,-3424.321413,-3423.658907,-3459.196985,-3467.407823,-3456.242979,-2247.830033,-2490.065247,-3162.963688,-3219.579756,-1286.977679,-1706.674248,-774.9974728,-1156.224012,-1566.955298,-1791.27872,-1703.903526,-1927.739233,16.196487471461296,-148.9707176,-54.6134077,-309.7215109,62.721140682697296,729.0716469287872,65.09164720773697,732.9789549,-51.53060332,-556.6713214,161.96487471461296
3.5,100.62049143016338,170.8315685391426,175.2462424337864,174.53830689191818,-162.5584811,-159.3091153,-161.1128636,607.4043363332748,-905.1660448,295.5496124923229,-145.2031918,1528.0073881149292,-1801.914871,1748.7095296382904,-2578.121424,2183.7329864501953,-2939.880788,2091.2928879261017,-2800.834775,114.83083665370941,-1151.307598,151.29326283931732,-610.7993051,167.2322005033493,-146.8104869,175.3675490617752,-113.4754438,239.84597623348236,-555.3193018,1048.3083665370941,-5789.965391,-6182.675362,-6187.6899,-6192.577481,-6151.458621,-6161.458492,-6175.177097,-6152.790785,-6116.476059,-5588.079095,-5561.550856,-4410.101771,-4408.672452,-2038.611323,-1963.754445,224.08416494727135,432.0951923727989,413.9991104602814,605.3891405463219,-2.024405403,12.899356661364436,393.12854409217834,4104.675352573395,735.6856465339661,7809.501886367798,779.7216176986694,8290.517330169678,843.2085514068604,8867.453932762146,-20.24405403,-3763.316572,-3615.635633,-3609.179854,-3608.530164,-3644.915819,-3653.54389,-3641.334474,-2424.071133,-2664.172947,-3316.320479,-3371.526301,-1398.964673,-1782.137305,-860.7302606,-1182.078049,-1738.562584,-1823.041886,-1883.435249,-1962.442994,15.079349279403687,-137.3566035,-38.30580786,-270.1890655,70.99389284849167,808.8500052690506,76.92666351795197,814.1851425170898,-34.55918655,-454.7494277,150.79349279403687
4,110.9901163727045,177.8448373,180.6093007326126,181.1656728386879,-163.1112024,-160.3877358,-161.7043279,589.7636711597443,-929.6700358,295.16657814383507,-143.7252387,1413.4618639945984,-1802.154779,1664.0084981918335,-2579.970062,1911.9657576084137,-2778.502107,1771.138310432434,-2626.045048,113.77271264791489,-1141.111553,164.7951602935791,-623.2717633,187.50835955142975,-190.0061406,192.8032487630844,-166.5216312,234.97559130191803,-510.9800771,1037.7271264791489,-5774.295926,-6161.501408,-6165.990233,-6170.992851,-6127.343178,-6137.762666,-6151.197553,-6066.083908,-6037.915945,-5551.246405,-5530.507565,-4266.429842,-4167.119861,-1897.712648,-1569.446772,179.85090613365173,695.8473473787308,338.1901979446411,850.2968400716782,-15.95820859,156.27490356564522,147.04562723636627,4359.801411628723,518.3027982711792,8036.751151,562.4539852142334,8509.960174560547,614.8363947868347,9023.074507713318,-159.5820859,-2872.329652,-2663.310468,-2654.265761,-2655.849755,-2710.716128,-2718.905807,-2711.527348,-1424.912214,-1809.533238,-2443.791926,-2529.053688,-436.0330477,-1349.66597,-12.43384089,-1070.180088,-1029.275209,-1616.979241,-1168.219224,-1700.960547,23.33350107073784,-219.5538208,-321.1120963,-362.351872,-318.6333179,466.960147,-323.9386976,443.12190264463425,-449.9447644,-859.4314009,233.3350107073784
4.5,292.1515889465809,362.26190626621246,363.7917712330818,364.3723204731941,20.657770801335573,23.669670335948467,22.449404932558537,781.8342745304108,-738.9672101,477.4003475904465,40.00043496489525,1527.5505185127258,-1660.466194,1661.083996295929,-2519.285381,1825.9164690971375,-2639.885545,1684.3432188034058,-2478.54948,112.48790472745895,-1128.439158,161.41006350517273,-613.8782948,157.02161192893982,-208.97571,157.1197807788849,-186.149776,189.1135573387146,-515.4155567,1024.8790472745895,-5896.418691,-6264.807582,-6267.521381,-6272.495389,-6232.580543,-6243.953109,-6256.218553,-6089.552045,-6079.707146,-5627.362728,-5619.652271,-4274.269938,-4210.720062,-1894.399822,-1625.359356,-31.315831,655.6452810764313,93.21378543972969,814.3717050552368,-19.61777732,193.70060414075851,41.99276119470596,4386.853277683258,414.4034683704376,8054.1592836380005,458.5936367511749,8529.492020606995,517.9738402366638,9038.752913475037,-196.1777732,-2347.690761,-2131.082267,-2121.620476,-2123.770714,-2165.590972,-2173.457742,-2167.018354,-916.0673618,-1247.445121,-1934.179515,-2000.900507,-44.25378516,-823.3703673,251.79211050271988,-582.3140591,-881.1429888,-1193.18746,-1014.120728,-1285.973042,25.445541366934776,-240.8208512,-354.5237184,-130.6034438,-389.1132474,737.1845841407776,-398.2544541,716.1288708,-527.5998712,-602.1368504,254.45541366934776
