Time,C7,T10,CLAV,LFIN,LPSI,RBHD,RFIN,LFHD,RFHD,STRN,LBHD,LSHO,RSHO,LELB,RELB,LWRB,RWRB,LWRA,RWRA,LASI,RASI,LKNE,RKNE,LANK,RANK,LHEE,RHEE,LTOE,RTOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1388.541162,1195.57634,1198.747233,1195.235699,1147.202104,1153.152287,1148.580015,275.0557661,30.87587422,1047.81054,973.5895693,120.4968989,-740.0090992,-459.0881616,-1025.229171,200.3109641,-392.3875466,279.8291482,-215.9580402,371.5533018,-376.8520802,122.6759888,108.6132042,104.5791339,58.30723792,229.8057452,80.61532862,1439.035535,1377.673298,271.5533018,-6137.332916,-6560.696959,-6561.658382,-6570.585966,-6495.69571,-6506.920457,-6518.723965,-6633.797288,-6409.387589,-5959.796906,-5893.793702,-4883.643389,-4741.760194,-2406.905442,-2291.182727,-202.0746842,140.9385446,6.412862567,336.3759443,-78.21236737,71.9134789,3819.670379,3862.177432,7014.51838,7495.235801,7432.963252,7946.851254,7730.80349,8105.154634,-78.21236737,-1575.26657,-1484.871507,-1477.737874,-1477.159858,-1786.007434,-1793.657988,-1789.343804,-738.9108092,-2224.78196,-1276.254505,-1681.940556,540.1254073,-2829.704881,933.3911538,-3266.901076,334.6129134,-3324.945867,194.5302077,-3294.513524,1115.787774,-1100.413874,2419.257611,-500.4342645,3882.135749,28.20770489,3930.066824,-9.7070419,3558.460176,-997.7417439,1115.787774
0.5,1388.627589,1196.061671,1199.233904,1195.734888,1147.760749,1153.703853,1149.117947,276.6874619,31.35996871,1047.902852,973.6388177,121.2814171,-742.4478978,-457.1333528,-1024.248227,201.7300017,-393.5249522,281.8054706,-216.7524584,372.6870939,-378.011018,118.4932422,97.23728523,94.92460638,49.23005123,219.0866508,72.9985116,1426.230669,1368.394494,272.6870939,-6135.83982,-6559.453607,-6560.427547,-6569.33248,-6494.748592,-6505.963206,-6517.770886,-6633.600593,-6409.425139,-5958.813429,-5892.994404,-4883.96734,-4741.799235,-2409.069985,-2291.713059,-207.6726221,140.5203994,-0.401410398,335.8862549,-78.42421532,72.13424426,3819.489479,3863.644898,7014.406919,7496.637702,7432.414293,7948.204279,7732.297182,8106.203675,-78.42421532,-1575.546712,-1485.216767,-1478.091329,-1477.526724,-1786.393523,-1794.06777,-1789.734811,-739.5096123,-2224.985212,-1276.602149,-1682.194024,539.7420749,-2829.890549,931.7550063,-3267.168403,331.9663182,-3325.683475,191.6822791,-3295.520842,1115.965322,-1100.614965,2412.294447,-480.0282046,3863.87229,77.04536896,3911.343515,41.03370477,3539.158106,-950.9443492,1115.965322
1,1385.987699,1194.0974,1197.275072,1193.810925,1146.311611,1152.239591,1147.617772,273.1677145,30.12465779,1043.897495,970.5583006,117.5481454,-750.0780374,-472.7873206,-1027.898267,189.89712,-399.0979493,270.7436122,-221.5132676,377.6642308,-383.0424324,115.0531042,70.3152502,80.6477759,37.96396777,203.5181411,65.62483963,1407.946497,1353.157163,277.6642308,-6134.749651,-6558.545232,-6559.538841,-6568.438411,-6494.167447,-6505.361199,-6517.176032,-6633.201838,-6409.996152,-5957.888365,-5892.294049,-4884.244502,-4743.614197,-2411.414683,-2297.782302,-208.672788,139.3033285,-0.875913393,335.2354467,-78.48595269,72.2072646,3818.864524,3865.251839,6999.539733,7495.592237,7413.597107,7946.667075,7709.370852,8101.392984,-78.48595269,-1575.584859,-1485.496908,-1478.374302,-1477.81074,-1786.744595,-1794.44477,-1790.077537,-740.9121841,-2226.611227,-1276.777983,-1682.410389,537.0622501,-2829.43964,928.0496091,-3267.130852,330.7348862,-3325.831294,190.0965348,-3295.761645,1115.334108,-1100.008637,2410.965115,-412.4360159,3857.773542,250.4433319,3906.113505,224.1293155,3533.768058,-778.0911028,1115.334108
1.5,1358.824372,1171.314865,1174.457148,1171.061546,1126.364544,1132.285371,1127.72122,242.665112,10.04281803,1008.680612,938.2504225,35.69044638,-775.385201,-579.6439946,-1094.175428,-15.6896573,-598.1640145,59.44554228,-434.8601401,360.8264774,-366.0564125,17.44417474,61.68547086,50.44789053,22.152327,177.8335869,42.8097602,1389.67365,1311.633587,260.8264774,-6127.952337,-6552.1276,-6553.103924,-6562.020779,-6489.518285,-6500.707865,-6512.47859,-6633.18038,-6415.652633,-5953.51398,-5890.048742,-4892.35431,-4762.127995,-2440.211326,-2339.860052,-207.7420987,121.8988467,3.128151584,322.2773597,-78.08892522,71.85191382,3818.878829,3848.202825,7006.995082,7462.633252,7423.914075,7910.857797,7715.597153,8083.754182,-78.08892522,-1530.355066,-1437.721848,-1430.53174,-1429.810822,-1741.874218,-1749.494374,-1745.161265,-695.9136575,-2196.862698,-1232.489571,-1642.624736,570.9467456,-2812.153995,953.0538321,-3253.45695,347.041674,-3317.489922,206.6810615,-3283.71346,1117.187887,-1101.892814,2462.796122,-464.210473,3968.58871,26.86255844,4020.057321,-14.33908823,3658.78284,-965.8537805,1117.187887
2,1352.67511,1168.472245,1171.707436,1168.147624,1109.345704,1115.478277,1111.229137,313.5563061,-4.817803274,1026.396006,934.2500567,327.4664655,-737.105459,38.35365409,-1160.287261,945.5146641,-737.9810512,1022.033989,-550.62823,418.0716351,-421.0027307,-3.531030088,69.11677308,55.86564541,31.57073865,185.2477714,52.81034857,1409.491897,1317.675412,318.0716351,-6403.707862,-6799.034476,-6801.665425,-6809.971333,-6735.107899,-6746.399999,-6759.042144,-6801.42343,-6586.36272,-6203.129888,-6137.288213,-4948.961437,-4965.251684,-2510.736287,-2622.445822,-416.8656468,-136.8663553,-218.2642184,95.8688464,-65.19715302,58.67952947,3965.243101,3848.159611,7259.222865,7530.472279,7700.728178,7995.461226,8111.611009,8362.333775,-65.19715302,-988.8663143,-855.6518704,-847.1829444,-846.2433517,-1132.363006,-1137.679517,-1134.445667,-14.61177715,-1419.916004,-663.5636091,-1042.362079,1136.406884,-2117.591351,1570.861787,-2900.321782,874.254182,-3430.832624,715.6100869,-3404.398859,1097.798124,-1080.325097,1887.122244,-1074.312627,2901.23105,-1127.049029,2895.344198,-1218.936592,2330.923229,-2334.768623,1097.798124
2.5,1285.231113,1069.944277,1074.282452,1069.063619,984.923169,991.7169064,987.8516942,245.8222397,-147.0281091,994.2544252,881.4378828,314.9004653,-792.3920453,86.49852127,-1548.31484,1323.955357,-856.8795025,1430.549771,-650.0928849,445.4937577,-447.6309568,-64.14504722,27.94595202,-57.62741901,-37.97138575,51.88773852,-32.36062359,1263.42997,1166.938692,345.4937577,-6686.297059,-7060.886621,-7065.086961,-7072.659731,-7002.416849,-7013.896108,-7027.022839,-6997.231841,-6788.506508,-6465.396881,-6399.430037,-5126.108527,-5275.322199,-2863.112986,-3235.294819,-1052.136645,-1106.792167,-882.6388419,-926.8752486,-52.66468972,45.92634272,4043.88696,3854.434788,7367.501259,7620.980144,7815.182805,8088.321686,8367.005587,8627.6263,-52.66468972,-438.253656,-294.9727699,-286.678914,-284.8451771,-584.7217888,-589.482747,-586.8230015,542.3807353,-929.6272695,-111.2612337,-506.663993,1648.104638,-1687.882096,2225.398123,-2785.903215,1665.823907,-4083.90671,1495.56905,-4051.401317,1098.107398,-1079.47804,1817.252487,-1283.836961,2796.84782,-1472.506523,2796.363533,-1557.519287,2276.317626,-2613.894045,1098.107398
3,1239.113733,996.9460964,1001.311168,995.3817725,920.8977968,928.1092882,923.9330143,139.3691357,-200.7016167,948.2894838,846.3259786,193.6754398,-843.0449665,33.54731016,-1581.929624,1182.066947,-857.7919751,1280.386299,-681.9798797,435.8160868,-436.8250072,-77.94893812,14.46470618,-76.07379463,-50.36228336,36.90201789,-42.19747614,1252.689809,1161.628664,335.8160868,-6817.902923,-7179.827094,-7184.78024,-7191.900015,-7131.720185,-7142.709494,-7156.464458,-7058.635354,-6891.561747,-6575.164199,-6519.210935,-5216.683149,-5462.555885,-3256.627619,-3773.346841,-1927.39144,-2478.627563,-1807.91378,-2372.288108,-38.80704287,31.8686082,4078.819454,3842.26948,7505.528331,7675.428987,7965.263724,8145.748377,8559.624553,8709.117174,-38.80704287,-376.8125921,-245.3283221,-237.1523716,-234.8601259,-542.8329855,-547.3445728,-544.4596708,574.6794492,-917.0275182,-53.01650148,-454.3807358,1607.718468,-1622.516662,2415.295839,-3206.742704,2468.711436,-5298.297405,2332.203388,-5287.049413,1098.060384,-1079.260707,1793.176532,-1332.260817,2742.516696,-1611.994058,2742.273808,-1695.71504,2223.251015,-2732.819021,1098.060384
3.5,1201.636493,958.7228298,963.2174671,956.4778954,876.4196187,884.6093714,879.1617304,118.0748548,-223.3647741,916.6428447,820.2720433,169.142168,-850.6571501,13.04324251,-1563.436687,1267.44926,-855.8850735,1380.483806,-702.0054758,434.2072085,-435.1884499,-85.29221639,-29.7150854,-98.01867418,-118.1261055,8.185402257,-111.7043942,1171.559915,1063.196212,334.2072085,-6836.767197,-7200.15645,-7205.097675,-7212.67879,-7152.149677,-7162.140012,-7176.305652,-7082.909942,-6915.674806,-6593.821049,-6538.242102,-5216.454864,-5451.307893,-3502.66695,-3968.558311,-2710.28012,-3181.14996,-2632.425129,-3101.233244,-34.40761007,27.1304464,4091.922641,3822.978437,7484.291792,7669.31653,7942.87324,8138.359189,8564.537168,8687.40201,-34.40761007,-573.1206387,-490.5830324,-480.434075,-478.1113192,-778.1065255,-781.5469056,-778.8156718,273.1243894,-1188.169792,-263.1694824,-655.4480642,1391.045898,-1717.59367,3066.999614,-3912.389874,4439.174235,-6391.180754,4379.752576,-6414.070129,1090.931371,-1072.527766,2025.878727,-1297.716349,3074.810803,-1484.89058,3078.013957,-1560.01851,2546.245456,-2586.147785,1090.931371
4,1210.964248,987.2005135,991.731286,983.7949276,898.4223753,908.2750976,901.0537714,144.2728937,-190.3658547,917.9966897,826.2192458,152.0753559,-857.1548015,73.68153427,-1172.416508,1309.029311,-496.4389652,1420.905441,-388.3416206,432.7994213,-433.8933155,-87.29897439,-29.50080903,-102.6082784,-116.4985448,0.793905492,-110.5681248,1149.955988,1076.461971,332.7994213,-6764.016151,-7135.869265,-7142.062187,-7149.278522,-7094.742656,-7101.977468,-7117.38646,-7068.27879,-6900.156736,-6543.194652,-6496.252418,-5211.197734,-5398.563147,-3509.546518,-4085.742533,-2949.219644,-4130.150676,-2907.342017,-4129.654467,-38.76126138,31.01825016,4102.05245,3797.080517,7470.850348,7619.418502,7927.034497,8093.318939,8547.200561,8667.911291,-38.76126138,-923.2440591,-863.1569147,-852.8386056,-850.6815881,-1147.11687,-1149.624214,-1147.406027,-81.41172118,-1545.655727,-603.8129702,-997.2319752,1084.375903,-1976.06951,3177.430928,-4178.66081,4851.377308,-6524.118185,4817.531109,-6553.901434,1077.192798,-1059.31133,2141.787112,-1279.119849,3256.483078,-1441.314369,3265.909553,-1511.972845,2742.793858,-2514.3677,1077.192798
4.5,1282.678097,1088.542193,1092.338413,1083.712503,998.7630695,1009.729058,1001.632363,219.2519605,-115.1323412,960.9217197,882.692337,149.591295,-829.6695352,128.852902,-886.3142133,1291.846186,-355.2324697,1406.946182,-193.9179003,447.0910504,-447.8928074,-42.77492408,-40.2842043,-79.59101349,-133.5717831,12.75283284,-131.7303441,1122.275591,1065.509394,347.0910504,-6644.608378,-7040.904164,-7046.74542,-7053.746581,-6985.945702,-6993.048787,-7008.034587,-7045.602202,-6858.023405,-6450.818181,-6386.028528,-5249.820948,-5226.541162,-3810.901046,-4090.308845,-3808.107376,-4886.266589,-3817.482293,-4960.609674,-51.27901677,43.27579401,4098.316133,3786.352575,7463.01353,7585.167885,7921.242714,8060.182333,8554.680347,8646.011353,-51.27901677,-946.746394,-878.0224621,-868.2018518,-865.7999337,-1163.764969,-1165.862232,-1163.824201,-76.77581161,-1541.367173,-621.1240217,-1017.055288,1094.013453,-2017.910033,3428.498805,-4113.715291,5379.360318,-6197.206974,5374.086499,-6236.373186,1048.524901,-1031.233296,2075.356543,-1394.932419,3122.171164,-1638.279706,3122.907877,-1713.650227,2602.217197,-2693.894207,1048.524901
